"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"Record ID","uuid","","id","Record ID","uuid","Record ID","ALA ID for this record."
"Catalog Number","catalogNumber","catalogNumber","catalogue_number","Catalog Number","catalogNumber","Catalog Number","The catalogue number for this record. This will be populated if the data has come from a museum or herbaria"
"Match Taxon Concept GUID","taxonConceptID.p","taxonID","taxon_concept_lsid","Match Taxon Concept GUID","taxonConceptID.p","Match Taxon Concept GUID","The GUID for the concept in the National Species List (NSL)"
"Scientific Name","scientificName","scientificName","raw_taxon_name","Scientific name (unprocessed)","scientificName","Scientific Name","Original scientific name supplied with the record"
"Vernacular Name","vernacularName","vernacularName","raw_common_name","Common name (unprocessed)","vernacularName","Vernacular Name","Original vernacular name supplied with the record"
"Matched Scientific Name","scientificName.p","scientificName","taxon_name","Scientific name","scientificName.p","Matched Scientific Name","The name the ALA has matched this record to in the NSL"
"Taxon Rank - matched","taxonRank.p","taxonRank","rank","Identified to rank","taxonRank.p","Taxon Rank - matched","The taxonomic rank the ALA has matched this record to in the NSL"
"Vernacular Name - matched","vernacularName.p","vernacularName","common_name","Common name (processed)","vernacularName.p","Vernacular Name - matched","The common name the ALA has matched this record to in the NSL"
"Kingdom - matched","kingdom.p","kingdom","kingdom","Kingdom","kingdom.p","Kingdom - matched","The kingdom the ALA has matched this record to in the NSL"
"Phylum - matched","phylum.p","phylum","phylum","Phylum","phylum.p","Phylum - matched","The phylum the ALA has matched this record to in the NSL"
"Class - matched","classs.p","class","class","Class","classs.p","Class - matched","The class the ALA has matched this record to in the NSL"
"Order - matched","order.p","order","order","Order","order.p","Order - matched","The order the ALA has matched this record to in the NSL"
"Family - matched","family.p","family","family","Family","family.p","Family - matched","The family the ALA has matched this record to in the NSL"
"Genus - matched","genus.p","genus","genus","Genus","genus.p","Genus - matched","The genus the ALA has matched this record to in the NSL"
"Species - matched","species.p","specificEpithet","species","Species","species.p","Species - matched","The species the ALA has matched this record to in the NSL"
"Institution Code","institutionCode","institutionCode","institution_code","Institution Code","institutionCode","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria"
"Collection Code","collectionCode","collectionCode","collection_code","Collection Code","collectionCode","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria"
"locality","locality","locality","raw_locality","","locality","","The locaility information that was supplied with the raw record."
"Latitude - original","decimalLatitude","decimalLatitude","raw_latitude","Latitude - original","decimalLatitude","Latitude - original",""
"Longitude - original","decimalLongitude","decimalLongitude","raw_longitude","Longitude - original","decimalLongitude","Longitude - original",""
